Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,1,0,0,0,-nan
2,1,1,7,7,1
3,1,0,2,2,1
4,1,1,9,11,0.818182
5,0,1,8,9,0.888889
6,0,0,3,3,1
7,0,1,11,12,0.916667
8,1,1,2,4,0.5
9,1,1,9,9,1
10,1,0,1,1,1
11,1,0,0,0,-nan
12,1,0,3,3,1
13,1,1,6,6,1
14,1,1,8,8,1
15,1,1,8,8,1
16,1,0,0,0,-nan
17,0,1,8,9,0.888889
18,1,0,0,0,-nan
19,1,1,4,5,0.8
20,1,1,5,5,1
