NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,1,74,0.0135135
2,1,1,1,1,1
3,1,0,0,0,NA
4,0,0,0,0,NA
5,0,0,1,1,1
6,0,1,1,1,1
7,0,0,0,0,NA
8,0,1,2,3,0.666667
9,0,0,0,0,NA
10,0,1,0,0,NA
11,1,1,3,3,1
12,1,1,4,4,1
13,1,1,0,0,NA
14,1,0,0,0,NA
15,0,1,1,1,1
16,1,1,4,4,1
17,1,0,0,0,NA
18,0,1,3,3,1
19,0,0,0,0,NA
20,1,0,0,0,NA
21,0,1,2,2,1
22,0,1,1,1,1
23,1,0,1,1,1
24,0,1,2,2,1
25,0,1,0,0,NA
26,1,1,1,1,1
27,0,1,4,5,0.8
28,1,0,1,1,1
29,0,1,1,1,1
30,0,0,0,0,NA
31,0,1,4,4,1
32,0,1,1,1,1
33,0,1,4,4,1
34,1,0,0,0,NA
35,1,1,2,2,1
36,0,1,2,2,1
37,1,1,5,5,1
38,0,1,4,4,1
39,0,0,1,1,1
40,1,1,0,0,NA
41,1,0,0,0,NA
42,1,0,0,0,NA
43,0,1,3,3,1
44,1,1,2,2,1
45,1,0,0,0,NA
46,0,0,0,0,NA
47,1,1,1,1,1
48,1,0,1,1,1
49,1,1,2,2,1
50,1,1,3,4,0.75
51,1,0,0,0,NA
