Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,0,1,4,5,0.8
2,1,1,10,10,1
3,1,1,9,9,1
4,1,1,8,8,1
5,1,1,7,7,1
6,0,1,5,5,1
7,1,1,2,3,0.666667
8,1,1,7,7,1
9,1,1,6,7,0.857143
10,1,1,5,5,1
11,1,1,10,10,1
12,1,1,9,11,0.818182
13,1,1,10,10,1
14,1,1,7,7,1
15,1,1,9,10,0.9
16,1,0,0,0,-nan
17,1,1,7,7,1
18,1,1,9,9,1
19,1,1,0,0,-nan
20,1,0,1,1,1
