NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,99,99,1
2,1,1,7,7,1
3,1,0,0,0,NA
4,1,1,0,1,NA
5,0,0,1,1,1
6,1,0,0,0,NA
7,0,0,0,0,NA
8,1,1,6,6,1
9,1,1,1,1,1
10,1,1,4,4,1
11,1,1,1,1,1
12,1,1,3,3,1
13,0,1,4,4,1
14,1,1,0,3,NA
15,1,1,1,1,1
16,1,0,0,0,NA
17,1,1,0,0,NA
18,1,1,0,2,NA
19,1,0,0,0,NA
20,1,0,2,2,1
21,1,0,0,0,NA
22,0,1,4,4,1
23,1,1,5,6,0.833333
24,1,1,4,5,0.8
25,1,0,0,0,NA
26,1,0,0,0,NA
27,1,1,1,1,1
28,1,1,10,10,1
29,1,1,4,5,0.8
30,0,0,0,0,NA
31,1,1,6,6,1
32,1,1,3,4,0.75
33,1,0,0,0,NA
34,0,1,0,3,NA
35,1,1,1,1,1
36,1,0,1,1,1
37,1,0,0,0,NA
38,1,1,4,4,1
39,1,1,0,1,NA
40,1,1,3,4,0.75
41,0,0,0,1,NA
42,0,1,2,2,1
43,1,1,1,2,0.5
44,0,0,0,0,NA
45,1,0,0,0,NA
46,1,0,0,0,NA
47,1,1,2,2,1
48,1,1,1,3,0.333333
49,1,1,4,6,0.666667
50,1,0,0,0,NA
51,0,0,0,0,NA
