NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,1,31,0.0322581
2,0,1,1,1,1
3,0,0,1,1,1
4,0,1,1,1,1
5,1,1,0,0,NA
6,0,1,1,1,1
7,0,1,2,2,1
8,0,1,1,1,1
9,1,0,0,0,NA
10,1,1,1,1,1
11,0,0,0,0,NA
12,1,1,1,1,1
13,1,0,0,0,NA
14,0,1,0,0,NA
15,1,0,0,0,NA
16,0,0,0,0,NA
17,0,0,0,0,NA
18,1,1,2,2,1
19,1,1,2,2,1
20,1,1,1,1,1
21,0,0,0,0,NA
22,1,0,0,0,NA
23,0,0,0,0,NA
24,0,1,0,0,NA
25,0,1,1,1,1
26,1,0,0,0,NA
27,0,1,1,1,1
28,1,1,0,1,NA
29,1,0,0,0,NA
30,0,1,1,1,1
31,1,0,0,0,NA
32,1,1,1,1,1
33,1,0,0,0,NA
34,1,1,1,1,1
35,0,1,1,1,1
36,0,0,0,0,NA
37,1,1,1,1,1
38,0,0,0,0,NA
39,1,0,0,0,NA
40,0,0,1,1,1
41,1,0,0,0,NA
42,0,1,1,1,1
43,1,1,0,0,NA
44,0,1,2,2,1
45,0,1,0,0,NA
46,0,0,0,0,NA
47,1,1,1,1,1
48,0,1,1,1,1
49,1,1,1,1,1
50,1,1,1,1,1
51,1,1,1,1,1
