NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,47,48,0.979167
2,1,1,0,0,NA
3,1,1,1,2,0.5
4,1,1,3,4,0.75
5,1,0,0,0,NA
6,1,0,0,0,NA
7,0,1,2,4,0.5
8,1,0,0,0,NA
9,1,0,0,0,NA
10,0,1,0,0,NA
11,1,1,0,1,NA
12,1,0,0,0,NA
13,0,1,0,1,NA
14,1,1,1,1,1
15,1,1,1,2,0.5
16,1,1,2,2,1
17,1,1,0,0,NA
18,1,1,1,2,0.5
19,1,0,0,0,NA
20,1,1,2,3,0.666667
21,1,0,0,0,NA
22,1,0,0,0,NA
23,1,1,1,1,1
24,0,1,1,1,1
25,0,1,0,2,NA
26,1,1,0,0,NA
27,1,0,0,0,NA
28,1,1,0,0,NA
29,1,0,0,1,NA
30,0,1,1,2,0.5
31,1,0,0,0,NA
32,1,1,0,0,NA
33,1,1,2,2,1
34,1,0,0,0,NA
35,0,1,3,4,0.75
36,1,1,0,1,NA
37,1,0,0,0,NA
38,1,1,1,1,1
39,0,1,4,4,1
40,0,1,1,1,1
41,1,0,0,0,NA
42,1,0,0,0,NA
43,1,0,0,0,NA
44,1,0,0,0,NA
45,0,1,1,1,1
46,1,1,1,1,1
47,1,1,0,0,NA
48,1,0,0,0,NA
49,1,1,3,4,0.75
50,1,0,0,0,NA
51,1,0,0,0,NA
