NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,60,60,1
2,1,1,0,1,NA
3,0,1,3,3,1
4,0,0,0,0,NA
5,1,0,0,0,NA
6,1,1,2,3,0.666667
7,0,1,0,2,NA
8,1,0,0,0,NA
9,1,1,0,3,NA
10,0,1,0,0,NA
11,0,0,0,0,NA
12,0,1,0,0,NA
13,0,1,0,0,NA
14,1,1,2,3,0.666667
15,1,1,1,3,0.333333
16,0,0,0,0,NA
17,1,0,0,0,NA
18,1,1,3,3,1
19,1,1,1,1,1
20,1,1,2,4,0.5
21,1,1,1,1,1
22,1,0,0,0,NA
23,1,1,2,3,0.666667
24,1,1,2,2,1
25,0,1,2,2,1
26,1,1,3,3,1
27,0,0,0,0,NA
28,0,0,0,0,NA
29,1,1,0,0,NA
30,0,0,0,0,NA
31,1,1,0,0,NA
32,0,0,1,1,1
33,0,1,2,3,0.666667
34,1,0,0,0,NA
35,1,1,1,2,0.5
36,0,1,1,1,1
37,1,0,0,0,NA
38,1,1,3,3,1
39,0,1,2,3,0.666667
40,0,1,1,2,0.5
41,1,0,0,0,NA
42,0,0,0,0,NA
43,1,0,0,0,NA
44,0,0,0,0,NA
45,0,1,0,0,NA
46,1,0,0,0,NA
47,0,1,3,3,1
48,0,1,2,3,0.666667
49,0,0,0,0,NA
50,0,1,1,2,0.5
51,0,0,0,0,NA
