Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,0,1,4,4,1
2,1,1,3,3,1
3,1,1,1,1,1
4,1,0,0,0,-nan
5,1,1,1,1,1
6,0,1,1,1,1
7,0,1,5,5,1
8,0,0,0,0,-nan
9,1,0,0,0,-nan
10,0,0,0,0,-nan
11,1,1,0,0,-nan
12,1,0,0,0,-nan
13,1,1,2,2,1
14,1,1,2,2,1
15,0,0,1,1,1
16,0,1,2,2,1
17,0,1,4,4,1
18,0,1,1,1,1
19,0,1,1,1,1
20,1,1,1,1,1
