Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,1,1,0,0,-nan
2,1,0,1,1,1
3,1,0,0,0,-nan
4,1,1,2,2,1
5,1,0,0,0,-nan
6,1,1,1,1,1
7,1,0,0,0,-nan
8,0,1,1,1,1
9,1,0,0,0,-nan
10,1,1,0,0,-nan
11,1,1,2,2,1
12,1,0,0,0,-nan
13,1,0,1,1,1
14,0,1,0,0,-nan
15,0,0,0,0,-nan
16,1,0,0,0,-nan
17,1,0,0,0,-nan
18,0,1,0,0,-nan
19,1,1,1,1,1
20,1,1,0,0,-nan
