Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,1,1,1,1,1
2,1,1,0,0,-nan
3,1,1,5,5,1
4,1,0,0,0,-nan
5,0,1,3,3,1
6,1,1,3,3,1
7,0,1,3,3,1
8,1,0,0,0,-nan
9,1,1,6,6,1
10,0,1,4,4,1
11,0,1,5,5,1
12,1,0,1,1,1
13,1,0,0,0,-nan
14,1,0,0,0,-nan
15,1,0,1,1,1
16,1,0,0,0,-nan
17,1,1,3,3,1
18,1,1,4,4,1
19,1,0,0,0,-nan
20,1,1,3,3,1
