NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,1,37,0.027027
2,1,0,0,0,NA
3,1,1,3,3,1
4,1,1,0,0,NA
5,0,0,0,0,NA
6,1,1,1,1,1
7,0,0,0,0,NA
8,1,0,0,0,NA
9,1,1,0,0,NA
10,1,0,0,0,NA
11,1,0,0,0,NA
12,0,0,0,0,NA
13,1,0,0,0,NA
14,0,1,1,2,0.5
15,1,1,1,1,1
16,0,1,1,1,1
17,0,1,2,3,0.666667
18,0,0,0,0,NA
19,0,0,0,0,NA
20,0,0,1,1,1
21,1,0,1,1,1
22,1,1,1,1,1
23,1,1,2,2,1
24,0,1,0,0,NA
25,1,1,0,0,NA
26,0,1,1,1,1
27,0,0,0,0,NA
28,1,1,2,2,1
29,0,0,1,1,1
30,1,0,0,0,NA
31,1,1,0,0,NA
32,0,1,2,2,1
33,0,1,3,3,1
34,0,1,1,1,1
35,0,1,1,1,1
36,1,1,2,2,1
37,0,0,0,0,NA
38,0,1,1,1,1
39,0,0,0,0,NA
40,1,1,1,1,1
41,1,1,1,1,1
42,1,1,0,0,NA
43,0,1,1,1,1
44,0,0,0,0,NA
45,0,1,2,2,1
46,1,0,0,0,NA
47,1,0,0,0,NA
48,1,1,0,0,NA
49,0,1,0,0,NA
50,1,1,1,1,1
51,0,1,1,1,1
