NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,61,68,0.897059
2,1,1,1,1,1
3,1,0,0,0,NA
4,0,1,0,4,NA
5,0,1,1,1,1
6,1,1,0,4,NA
7,0,1,0,1,NA
8,1,1,0,1,NA
9,0,0,0,0,NA
10,1,1,0,0,NA
11,0,1,1,3,0.333333
12,0,1,1,3,0.333333
13,0,1,9,10,0.9
14,1,0,0,0,NA
15,1,1,1,2,0.5
16,0,0,0,0,NA
17,0,1,2,2,1
18,0,0,0,0,NA
19,0,0,0,0,NA
20,1,1,1,1,1
21,1,0,0,0,NA
22,1,0,0,0,NA
23,1,0,0,0,NA
24,1,1,0,0,NA
25,1,0,0,1,NA
26,1,1,1,3,0.333333
27,1,1,5,5,1
28,0,0,0,0,NA
29,1,1,1,1,1
30,0,1,2,4,0.5
31,1,0,0,0,NA
32,1,1,2,4,0.5
33,0,1,0,2,NA
34,0,0,0,0,NA
35,1,1,1,1,1
36,0,0,0,0,NA
37,0,0,0,0,NA
38,1,0,0,0,NA
39,0,1,0,0,NA
40,0,1,0,1,NA
41,0,0,0,0,NA
42,1,1,0,0,NA
43,0,1,1,3,0.333333
44,1,1,7,7,1
45,0,0,1,1,1
46,0,1,1,2,0.5
47,1,0,0,0,NA
48,0,1,0,2,NA
49,0,1,2,5,0.4
50,1,0,0,0,NA
51,1,1,3,3,1
