NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,64,64,1
2,0,1,4,4,1
3,0,0,0,0,NA
4,0,0,0,0,NA
5,1,0,0,0,NA
6,1,1,2,2,1
7,1,1,1,1,1
8,0,1,1,1,1
9,1,0,0,0,NA
10,0,1,5,5,1
11,1,1,1,1,1
12,0,0,0,0,NA
13,1,1,1,1,1
14,1,1,2,2,1
15,0,0,0,0,NA
16,1,1,2,2,1
17,1,1,3,3,1
18,1,1,3,3,1
19,1,0,0,0,NA
20,0,0,0,0,NA
21,0,1,0,0,NA
22,0,1,1,1,1
23,1,1,1,1,1
24,1,0,0,0,NA
25,0,1,2,2,1
26,0,0,0,0,NA
27,1,1,2,2,1
28,1,1,4,4,1
29,1,1,3,3,1
30,0,0,0,0,NA
31,0,1,3,3,1
32,1,0,0,0,NA
33,0,1,1,1,1
34,1,1,1,1,1
35,0,0,0,0,NA
36,1,1,2,2,1
37,0,0,0,0,NA
38,1,1,0,0,NA
39,1,0,0,0,NA
40,1,1,1,2,0.5
41,0,0,0,0,NA
42,0,0,0,0,NA
43,1,1,0,0,NA
44,0,1,0,0,NA
45,0,1,0,0,NA
46,0,0,0,0,NA
47,0,1,4,4,1
48,0,0,1,1,1
49,1,0,0,0,NA
50,1,1,3,4,0.75
51,0,1,3,3,1
