NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,75,75,1
2,0,1,4,4,1
3,1,1,3,3,1
4,1,1,3,3,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,0,0,0,NA
8,1,1,2,2,1
9,0,0,1,1,1
10,1,1,4,4,1
11,0,0,0,0,NA
12,1,0,1,1,1
13,1,0,0,0,NA
14,1,0,1,1,1
15,1,1,4,5,0.8
16,1,0,0,0,NA
17,1,1,5,5,1
18,1,0,0,0,NA
19,1,1,2,2,1
20,1,0,0,0,NA
21,0,1,1,2,0.5
22,0,1,3,3,1
23,1,1,5,5,1
24,1,0,0,0,NA
25,1,0,0,0,NA
26,0,0,1,1,1
27,1,1,2,2,1
28,1,1,5,5,1
29,0,0,1,1,1
30,1,1,4,4,1
31,1,0,0,1,NA
32,1,1,0,0,NA
33,1,0,0,0,NA
34,1,0,0,0,NA
35,1,0,0,0,NA
36,1,0,0,0,NA
37,1,0,2,2,1
38,1,1,1,1,1
39,0,0,0,0,NA
40,1,1,0,0,NA
41,1,1,3,4,0.75
42,1,1,4,4,1
43,0,1,1,2,0.5
44,1,1,3,3,1
45,0,1,2,2,1
46,1,1,3,3,1
47,1,1,0,1,NA
48,1,1,1,2,0.5
49,1,1,1,1,1
50,1,1,4,4,1
51,1,1,1,1,1
