NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,23,50,0.46
2,0,0,0,1,NA
3,1,1,0,2,NA
4,0,1,5,6,0.833333
5,0,0,0,0,NA
6,1,1,2,2,1
7,0,0,1,1,1
8,0,1,3,3,1
9,1,0,0,0,NA
10,0,1,0,2,NA
11,1,1,2,2,1
12,1,0,0,0,NA
13,0,0,0,0,NA
14,1,0,1,1,1
15,1,0,0,0,NA
16,1,0,0,1,NA
17,0,1,1,2,0.5
18,1,1,1,1,1
19,0,0,0,0,NA
20,1,0,1,1,1
21,1,1,0,0,NA
22,1,1,0,0,NA
23,0,1,0,0,NA
24,1,0,0,0,NA
25,1,0,0,0,NA
26,0,1,2,3,0.666667
27,1,1,0,0,NA
28,0,1,2,2,1
29,0,1,2,3,0.666667
30,0,1,0,0,NA
31,1,1,2,3,0.666667
32,1,0,1,2,0.5
33,0,1,1,2,0.5
34,1,1,0,1,NA
35,0,1,1,1,1
36,0,1,1,1,1
37,0,1,0,0,NA
38,0,0,0,0,NA
39,0,1,1,1,1
40,0,1,2,2,1
41,1,1,2,3,0.666667
42,0,1,1,2,0.5
43,1,0,0,0,NA
44,0,1,1,2,0.5
45,1,0,0,0,NA
46,1,0,0,0,NA
47,1,1,2,2,1
48,1,1,2,2,1
49,0,0,0,0,NA
50,1,0,0,0,NA
51,0,1,0,2,NA
