NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,19,19,1
2,1,0,0,0,NA
3,1,0,0,0,NA
4,0,1,2,2,1
5,0,1,0,0,NA
6,0,1,2,2,1
7,1,0,0,0,NA
8,0,0,0,0,NA
9,1,0,0,0,NA
10,0,1,0,1,NA
11,0,0,0,0,NA
12,1,0,0,0,NA
13,0,1,0,0,NA
14,0,1,0,0,NA
15,1,1,0,0,NA
16,1,1,0,0,NA
17,0,0,0,0,NA
18,1,0,0,0,NA
19,0,0,0,0,NA
20,0,1,0,0,NA
21,0,0,0,0,NA
22,1,1,1,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,0,1,1,1,1
26,1,1,1,1,1
27,0,1,0,0,NA
28,0,1,1,1,1
29,0,0,0,0,NA
30,1,1,2,2,1
31,0,1,1,1,1
32,1,0,0,0,NA
33,1,1,1,1,1
34,0,1,0,0,NA
35,0,1,3,3,1
36,1,1,0,0,NA
37,1,1,0,0,NA
38,1,1,0,0,NA
39,1,0,0,0,NA
40,0,0,0,0,NA
41,1,0,0,0,NA
42,0,1,0,0,NA
43,0,1,0,0,NA
44,0,1,0,0,NA
45,1,1,0,0,NA
46,1,0,0,0,NA
47,1,0,0,0,NA
48,1,1,0,0,NA
49,0,1,1,1,1
50,0,0,0,0,NA
51,1,0,0,0,NA
