NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,91,100,0.91
2,1,1,2,3,0.666667
3,1,0,0,0,NA
4,0,1,7,8,0.875
5,1,0,0,0,NA
6,0,1,1,2,0.5
7,1,1,3,5,0.6
8,0,1,2,2,1
9,1,1,2,2,1
10,1,1,7,10,0.7
11,1,0,1,1,1
12,1,1,2,3,0.666667
13,1,1,0,3,NA
14,1,0,0,0,NA
15,0,0,0,1,NA
16,1,0,0,1,NA
17,0,1,7,7,1
18,0,0,0,0,NA
19,1,0,1,1,1
20,1,0,0,0,NA
21,1,1,1,2,0.5
22,1,0,0,0,NA
23,1,1,1,4,0.25
24,1,0,0,0,NA
25,0,1,0,0,NA
26,0,0,0,0,NA
27,1,1,1,3,0.333333
28,1,0,0,0,NA
29,0,1,2,9,0.222222
30,0,1,2,4,0.5
31,0,1,2,5,0.4
32,0,0,0,0,NA
33,0,0,0,0,NA
34,1,0,1,1,1
35,1,0,0,0,NA
36,0,0,0,0,NA
37,0,1,3,3,1
38,0,1,1,2,0.5
39,0,1,3,5,0.6
40,0,1,0,3,NA
41,0,0,0,0,NA
42,0,1,3,3,1
43,0,1,1,3,0.333333
44,0,1,3,4,0.75
45,1,1,2,3,0.666667
46,1,0,0,0,NA
47,1,1,1,4,0.25
48,0,1,6,6,1
49,1,1,3,3,1
50,0,1,1,4,0.25
51,0,1,2,4,0.5
