NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,78,79,0.987342
2,1,0,1,1,1
3,0,1,0,1,NA
4,1,0,0,0,NA
5,1,1,0,0,NA
6,1,1,1,4,0.25
7,1,1,3,5,0.6
8,1,1,0,1,NA
9,0,0,0,0,NA
10,0,0,0,0,NA
11,1,1,3,3,1
12,1,0,0,0,NA
13,1,1,3,4,0.75
14,1,0,0,1,NA
15,1,0,0,0,NA
16,0,1,2,4,0.5
17,1,0,0,0,NA
18,1,0,0,0,NA
19,1,1,2,2,1
20,1,1,1,2,0.5
21,1,0,0,0,NA
22,1,0,0,0,NA
23,0,1,1,2,0.5
24,1,0,0,1,NA
25,1,0,1,1,1
26,1,1,0,0,NA
27,1,1,2,2,1
28,1,1,4,5,0.8
29,1,1,1,1,1
30,1,1,1,2,0.5
31,1,0,0,0,NA
32,0,1,1,2,0.5
33,0,0,0,0,NA
34,1,1,1,5,0.2
35,1,0,0,0,NA
36,1,1,1,2,0.5
37,1,0,2,2,1
38,1,1,2,4,0.5
39,1,1,0,2,NA
40,0,1,4,4,1
41,1,1,2,2,1
42,1,1,0,2,NA
43,1,0,1,1,1
44,1,0,0,0,NA
45,0,1,2,2,1
46,1,1,3,4,0.75
47,1,1,1,3,0.333333
48,1,1,2,2,1
49,0,1,0,2,NA
50,1,1,1,1,1
51,1,0,0,0,NA
