NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,0,0,NA
2,1,1,0,0,NA
3,1,1,0,0,NA
4,1,0,0,0,NA
5,1,1,0,0,NA
6,1,1,0,0,NA
7,0,1,0,0,NA
8,0,0,0,0,NA
9,0,1,0,0,NA
10,0,0,0,0,NA
11,1,1,0,0,NA
12,0,0,0,0,NA
13,0,1,0,0,NA
14,1,1,0,0,NA
15,1,1,0,0,NA
16,0,0,0,0,NA
17,1,0,0,0,NA
18,1,0,0,0,NA
19,1,0,0,0,NA
20,0,1,0,0,NA
21,0,0,0,0,NA
22,0,1,0,0,NA
23,1,0,0,0,NA
24,0,1,0,0,NA
25,0,1,0,0,NA
26,1,1,0,0,NA
27,0,1,0,0,NA
28,0,1,0,0,NA
29,0,1,0,0,NA
30,1,1,0,0,NA
31,0,1,0,0,NA
32,0,1,0,0,NA
33,0,0,0,0,NA
34,1,0,0,0,NA
35,1,0,0,0,NA
36,1,1,0,0,NA
37,1,0,0,0,NA
38,1,1,0,0,NA
39,0,1,0,0,NA
40,0,0,0,0,NA
41,0,1,0,0,NA
42,1,0,0,0,NA
43,1,0,0,0,NA
44,0,1,0,0,NA
45,1,1,0,0,NA
46,0,1,0,0,NA
47,0,0,0,0,NA
48,0,1,0,0,NA
49,1,0,0,0,NA
50,0,1,0,0,NA
51,1,0,0,0,NA
52,1,1,0,0,NA
53,1,1,0,0,NA
54,0,0,0,0,NA
55,0,1,0,0,NA
56,0,0,0,0,NA
57,1,1,0,0,NA
58,1,1,0,0,NA
59,0,0,0,0,NA
60,0,0,0,0,NA
61,1,1,0,0,NA
62,1,0,0,0,NA
63,1,0,0,0,NA
64,0,0,0,0,NA
65,1,1,0,0,NA
66,1,1,0,0,NA
67,0,0,0,0,NA
68,0,0,0,0,NA
69,0,0,0,0,NA
70,1,0,0,0,NA
71,1,1,0,0,NA
72,0,0,0,0,NA
73,1,1,0,0,NA
74,0,1,0,0,NA
75,0,1,0,0,NA
76,1,1,0,0,NA
77,1,0,0,0,NA
78,1,1,0,0,NA
79,1,1,0,0,NA
80,0,1,0,0,NA
81,0,1,0,0,NA
82,1,1,0,0,NA
83,0,0,0,0,NA
84,0,1,0,0,NA
85,0,0,0,0,NA
86,1,1,0,0,NA
87,0,1,0,0,NA
88,1,1,0,0,NA
89,1,1,0,0,NA
90,0,0,0,0,NA
91,1,1,0,0,NA
92,1,0,0,0,NA
93,0,1,0,0,NA
94,0,1,0,0,NA
95,0,1,0,0,NA
96,0,0,0,0,NA
97,1,0,0,0,NA
98,1,1,0,0,NA
99,0,1,0,0,NA
100,1,0,0,0,NA
101,1,1,0,0,NA
