Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,1,1,2,2,1
2,1,0,2,2,1
3,1,0,1,1,1
4,1,0,1,1,1
5,1,0,0,0,-nan
6,1,1,2,2,1
7,1,0,1,1,1
8,1,1,5,5,1
9,1,1,3,3,1
10,1,1,2,2,1
11,1,0,0,0,-nan
12,1,1,1,2,0.5
13,1,0,0,0,-nan
14,1,1,2,3,0.666667
15,1,0,0,0,-nan
16,1,1,4,4,1
17,1,1,5,5,1
18,1,1,4,4,1
19,1,1,1,1,1
20,1,1,1,1,1
