NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,67,67,1
2,0,0,0,0,NA
3,0,1,4,5,0.8
4,0,1,0,1,NA
5,1,0,0,0,NA
6,1,1,0,3,NA
7,1,1,2,2,1
8,0,1,0,1,NA
9,1,1,3,3,1
10,0,1,1,2,0.5
11,0,1,1,5,0.2
12,1,0,1,1,1
13,1,0,0,0,NA
14,1,0,0,0,NA
15,0,1,0,0,NA
16,0,0,0,0,NA
17,1,0,0,0,NA
18,1,1,2,2,1
19,0,0,0,1,NA
20,1,1,3,3,1
21,0,0,0,0,NA
22,0,0,0,0,NA
23,0,0,0,1,NA
24,0,1,1,2,0.5
25,1,1,1,2,0.5
26,1,0,0,0,NA
27,0,1,1,1,1
28,1,1,0,2,NA
29,1,1,0,2,NA
30,1,0,0,1,NA
31,1,1,2,2,1
32,0,1,2,4,0.5
33,0,0,0,0,NA
34,0,1,3,3,1
35,0,0,0,0,NA
36,1,0,0,0,NA
37,1,0,1,1,1
38,0,1,1,2,0.5
39,1,1,4,5,0.8
40,1,1,1,1,1
41,0,1,1,2,0.5
42,1,1,1,3,0.333333
43,1,1,1,1,1
44,0,1,2,3,0.666667
45,0,0,0,0,NA
46,0,0,0,0,NA
47,1,1,1,1,1
48,1,1,2,3,0.666667
49,0,0,1,1,1
50,0,1,1,1,1
51,1,1,0,2,NA
