NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,18,59,0.305085
2,1,1,2,2,1
3,1,1,3,3,1
4,0,0,1,1,1
5,1,0,0,0,NA
6,1,1,2,4,0.5
7,1,1,1,1,1
8,1,1,1,1,1
9,1,0,0,0,NA
10,0,0,0,0,NA
11,0,1,2,2,1
12,0,0,0,0,NA
13,0,1,0,0,NA
14,0,1,2,2,1
15,0,0,0,0,NA
16,0,1,2,2,1
17,1,0,0,0,NA
18,1,1,2,3,0.666667
19,1,0,0,0,NA
20,0,0,0,0,NA
21,1,0,0,0,NA
22,1,1,0,0,NA
23,0,1,2,2,1
24,1,1,2,2,1
25,1,1,0,0,NA
26,0,1,1,1,1
27,0,0,0,0,NA
28,1,0,0,0,NA
29,0,1,1,1,1
30,1,1,2,2,1
31,1,1,2,2,1
32,1,1,2,2,1
33,1,1,0,0,NA
34,0,1,2,2,1
35,0,0,1,1,1
36,1,0,1,1,1
37,0,0,0,0,NA
38,1,0,2,2,1
39,0,0,0,0,NA
40,0,1,1,1,1
41,0,0,0,0,NA
42,0,1,0,0,NA
43,0,1,0,0,NA
44,0,1,4,4,1
45,1,1,1,1,1
46,1,1,2,2,1
47,0,1,3,5,0.6
48,0,1,2,2,1
49,0,0,1,1,1
50,1,0,0,0,NA
51,1,1,3,3,1
