Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,0,1,7,7,1
2,0,1,3,3,1
3,0,1,5,5,1
4,0,1,7,7,1
5,0,1,4,5,0.8
6,0,1,11,11,1
7,0,1,7,7,1
8,0,1,4,4,1
9,0,1,3,3,1
10,0,1,3,3,1
11,0,1,9,9,1
12,0,1,7,7,1
13,0,1,10,10,1
14,0,1,7,7,1
15,0,1,4,4,1
16,0,1,7,7,1
17,0,1,4,4,1
18,0,1,4,5,0.8
19,0,1,4,4,1
20,0,1,3,3,1
