NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,80,83,0.963855
2,1,0,0,0,NA
3,0,0,0,0,NA
4,1,1,3,4,0.75
5,1,1,1,1,1
6,1,0,0,0,NA
7,1,1,4,4,1
8,1,0,1,1,1
9,1,0,0,0,NA
10,0,1,2,2,1
11,1,1,2,2,1
12,1,1,0,0,NA
13,1,1,4,4,1
14,1,0,0,0,NA
15,1,0,0,2,NA
16,1,1,1,1,1
17,1,1,1,1,1
18,1,0,0,0,NA
19,1,0,0,0,NA
20,0,1,3,4,0.75
21,1,1,6,7,0.857143
22,0,1,1,1,1
23,0,0,0,0,NA
24,1,1,1,1,1
25,1,1,4,6,0.666667
26,1,0,1,1,1
27,1,1,2,2,1
28,1,1,2,3,0.666667
29,1,1,3,3,1
30,1,0,0,0,NA
31,0,1,5,5,1
32,0,1,2,2,1
33,1,1,2,3,0.666667
34,1,1,3,3,1
35,0,0,0,0,NA
36,1,0,0,0,NA
37,1,1,2,3,0.666667
38,1,0,0,0,NA
39,1,1,2,2,1
40,0,1,1,1,1
41,1,1,6,6,1
42,1,1,1,1,1
43,1,0,1,1,1
44,1,1,1,1,1
45,1,0,0,0,NA
46,1,0,0,0,NA
47,0,1,4,4,1
48,1,0,0,0,NA
49,1,1,5,5,1
50,1,0,0,0,NA
51,1,1,1,3,0.333333
