Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,1,0,6,6,1
2,1,1,23,24,0.958333
3,1,1,35,39,0.897436
4,1,1,23,25,0.92
5,1,0,2,2,1
6,0,1,39,41,0.951219
7,1,0,3,4,0.75
8,1,1,31,33,0.939394
9,1,1,37,38,0.973684
10,1,1,38,38,1
11,1,1,20,22,0.909091
12,1,0,4,4,1
13,0,1,26,29,0.896552
14,0,0,4,4,1
15,1,0,2,2,1
16,1,1,33,36,0.916667
17,0,1,19,19,1
18,1,0,2,2,1
19,1,0,0,0,-nan
20,1,1,22,25,0.88
