NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,37,41,0.902439
2,0,0,0,0,NA
3,0,0,1,1,1
4,1,1,1,1,1
5,0,0,0,0,NA
6,1,0,0,1,NA
7,0,1,0,0,NA
8,0,0,0,0,NA
9,0,1,0,0,NA
10,0,0,0,1,NA
11,0,1,1,2,0.5
12,1,0,0,0,NA
13,0,1,3,3,1
14,1,1,1,3,0.333333
15,0,0,0,0,NA
16,1,0,0,0,NA
17,1,0,0,0,NA
18,0,1,0,2,NA
19,0,1,2,2,1
20,0,0,0,0,NA
21,1,1,0,0,NA
22,1,1,1,1,1
23,1,1,1,3,0.333333
24,0,1,1,2,0.5
25,1,1,2,4,0.5
26,0,1,0,0,NA
27,1,0,0,1,NA
28,1,1,0,1,NA
29,1,1,1,3,0.333333
30,0,1,0,1,NA
31,1,1,0,0,NA
32,1,0,0,0,NA
33,1,1,0,0,NA
34,1,0,0,0,NA
35,1,0,0,0,NA
36,0,1,1,1,1
37,0,1,0,1,NA
38,1,1,0,0,NA
39,1,0,0,0,NA
40,1,0,0,0,NA
41,1,1,0,1,NA
42,1,1,0,0,NA
43,0,0,0,0,NA
44,0,1,1,3,0.333333
45,0,1,0,0,NA
46,1,0,0,0,NA
47,0,1,2,2,1
48,0,0,0,0,NA
49,0,1,2,4,0.5
50,1,1,0,1,NA
51,0,1,0,0,NA
