NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,50,60,0.833333
2,0,1,1,1,1
3,0,0,0,0,NA
4,0,1,0,1,NA
5,1,0,0,0,NA
6,1,0,0,0,NA
7,1,0,0,0,NA
8,0,1,1,1,1
9,0,1,5,5,1
10,1,0,0,0,NA
11,0,1,3,3,1
12,1,1,1,2,0.5
13,1,0,0,0,NA
14,1,1,1,1,1
15,0,1,1,3,0.333333
16,0,1,2,2,1
17,1,1,2,2,1
18,0,1,1,1,1
19,1,1,1,2,0.5
20,1,1,3,4,0.75
21,1,1,0,0,NA
22,1,0,0,0,NA
23,1,0,0,0,NA
24,0,1,2,2,1
25,1,1,0,2,NA
26,0,1,5,5,1
27,0,1,2,4,0.5
28,0,1,1,3,0.333333
29,0,1,2,2,1
30,0,0,0,0,NA
31,0,1,0,0,NA
32,1,0,0,0,NA
33,1,1,0,0,NA
34,0,0,0,0,NA
35,1,1,0,2,NA
36,0,0,0,0,NA
37,1,1,3,3,1
38,1,0,0,0,NA
39,0,1,2,2,1
40,1,0,0,0,NA
41,1,0,0,0,NA
42,1,1,0,1,NA
43,0,0,0,0,NA
44,0,1,1,1,1
45,0,0,0,0,NA
46,0,1,2,2,1
47,0,1,1,3,0.333333
48,1,0,0,0,NA
49,1,1,0,0,NA
50,1,0,0,0,NA
51,0,0,0,1,NA
