NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,61,62,0.983871
2,0,0,0,0,NA
3,1,0,1,1,1
4,1,0,0,0,NA
5,1,1,3,3,1
6,1,1,3,3,1
7,0,0,0,0,NA
8,0,0,0,0,NA
9,1,0,0,0,NA
10,1,1,1,2,0.5
11,0,1,0,0,NA
12,1,1,1,1,1
13,0,1,1,1,1
14,0,1,0,0,NA
15,1,1,1,2,0.5
16,1,1,2,2,1
17,0,1,3,4,0.75
18,1,0,0,0,NA
19,0,1,2,4,0.5
20,0,1,2,4,0.5
21,0,0,0,0,NA
22,1,1,2,2,1
23,0,1,3,4,0.75
24,1,0,0,0,NA
25,0,1,0,1,NA
26,1,1,1,1,1
27,0,1,0,0,NA
28,0,1,0,1,NA
29,0,1,1,1,1
30,0,0,0,0,NA
31,1,1,2,2,1
32,1,1,0,0,NA
33,1,1,0,1,NA
34,1,0,0,0,NA
35,1,0,0,0,NA
36,0,0,0,1,NA
37,0,1,1,2,0.5
38,1,1,0,0,NA
39,0,1,0,0,NA
40,0,0,0,0,NA
41,1,1,4,4,1
42,0,0,0,1,NA
43,0,0,0,0,NA
44,1,1,2,2,1
45,0,1,1,1,1
46,0,0,0,0,NA
47,1,1,0,3,NA
48,1,0,0,0,NA
49,0,0,1,1,1
50,1,0,0,0,NA
51,1,1,1,2,0.5
