NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,57,65,0.876923
2,0,1,0,2,NA
3,0,1,0,1,NA
4,0,0,0,0,NA
5,0,0,0,0,NA
6,0,0,1,1,1
7,1,1,1,1,1
8,1,1,2,2,1
9,0,1,0,2,NA
10,0,1,9,9,1
11,1,0,0,0,NA
12,1,1,1,3,0.333333
13,1,1,0,1,NA
14,0,1,0,1,NA
15,1,1,0,0,NA
16,0,1,4,4,1
17,1,0,0,0,NA
18,1,1,0,0,NA
19,1,1,1,1,1
20,0,1,5,5,1
21,1,0,0,0,NA
22,1,0,0,0,NA
23,1,1,3,5,0.6
24,0,1,1,1,1
25,1,1,0,1,NA
26,0,0,1,1,1
27,1,0,0,1,NA
28,0,1,2,2,1
29,0,1,4,4,1
30,1,1,2,2,1
31,1,0,0,0,NA
32,0,0,1,1,1
33,1,1,2,5,0.4
34,1,1,1,2,0.5
35,0,0,0,0,NA
36,0,0,0,0,NA
37,0,1,2,5,0.4
38,0,1,2,2,1
39,0,1,0,1,NA
40,1,1,1,1,1
41,0,0,0,1,NA
42,1,1,4,5,0.8
43,1,0,0,0,NA
44,0,0,0,0,NA
45,0,0,0,0,NA
46,1,1,2,3,0.666667
47,1,0,0,0,NA
48,0,0,0,0,NA
49,0,1,5,5,1
50,1,0,0,0,NA
51,1,1,1,2,0.5
