Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,1,1,1,1,1
2,0,1,2,2,1
3,1,1,0,1,0
4,1,1,1,1,1
5,1,1,3,3,1
6,1,1,1,2,0.5
7,1,1,2,2,1
8,1,1,0,0,-nan
9,1,0,0,0,-nan
10,0,1,2,2,1
11,1,1,2,2,1
12,1,1,1,1,1
13,0,1,0,0,-nan
14,0,0,0,0,-nan
15,1,0,0,0,-nan
16,1,1,1,1,1
17,0,1,2,2,1
18,1,1,1,1,1
19,1,0,0,0,-nan
20,0,1,1,1,1
