NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,3,3,1
2,1,1,4,5,0.8
3,1,1,2,3,0.666667
4,0,1,1,1,1
5,1,0,1,2,0.5
6,1,1,2,2,1
7,1,1,2,2,1
8,1,1,5,5,1
9,1,0,0,0,NA
10,1,1,1,2,0.5
11,0,1,1,2,0.5
12,0,1,2,4,0.5
13,0,0,0,0,NA
14,1,1,4,4,1
15,1,0,1,1,1
16,1,0,0,0,NA
17,1,0,1,1,1
18,1,1,1,1,1
19,1,0,0,0,NA
20,1,0,0,0,NA
